Instruction,Output,input_text
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",6.3 THz,Our study reveals that the use of bound-to-continuum active region and copper-based surface-plasmon waveguide design enables reliable continuous-wave operation of terahertz (THz) quantum cascade lasers with emission at 6.3 THz.
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",175 K,"The latest resonant-phonon terahertz quantum-cascade laser can operate at a heat-sink temperature of 175 K, surpassing previous efficiency and performance standards."
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",3.29 THz,The latest advancements in our terahertz quantum-cascade laser technology have led to a laser that operates at 150 K in pulsed mode and 110 K in continuous wave mode at approximately 3.29 THz.
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",10 THz,"By combining improved fabrication methods and an advanced active region design, a record-breaking 10 THz QCL showed operation up to 214 K in pulsed mode and 151 K in cw mode."
"From the following sentence, please extract the heterostructure of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",GaAs/Al 0.15Ga0.85As,"The 4-well module was grown through molecular beam epitaxy (MBE) in the GaAs/Al 0.15Ga0.85As material system, resulting in a resonant-phonon laser with an active region composed of 178 recurring periods.		"
"From the following sentence, please extract the heterostructure of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",GaAs/Al0.15Ga0.85As,"Our laser setup follows a GaAs/Al0.15Ga0.85As heterostructure, resembling that detailed in Ref. [6], apart from a nearly 2% increase in the thicknesses of all layers. 		"
"From the following sentence, please extract the design type of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",resonant-phonon,"A 4.2 THz quantum cascade laser (QCL) was fabricated using a unique scattering-assisted injection and resonant-phonon depopulation approach, resulting."
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",1.8 W,"The team's efforts paid off as their terahertz quantum cascade laser achieved an unprecedented output power of 1.8 W in continuous wave mode, setting a new benchmark for future research."
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",126 K,"Resonant-phonon terahertz quantum-cascade lasers operating up to a heat-sink temperature of 126 K are demonstrated.		"
"From the following sentence, please extract the design type of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",bound-to-continuum,"Our findings show that by incorporating a bound-to-continuum active region and aluminum-based surface-plasmon waveguide design, we were able to achieve continuous-wave operation of terahertz (THz) quantum cascade lasers with emission at 3.9 THz."
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text","311 K, 127 K",The study compared the performance of the lasers at different temperatures and found optimal results at 311 K in pulsed mode and at 127 K in continuous-wave mode.
"From the following sentence, please extract the heterostructure of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",In0.7Al0.3As/GaSb ,The QCL now includes a nine-well period consisting of In0.7Al0.3As/GaSb material layers for increased output power.
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text","3.22 THz, 4.11 THz","For eleven wafers based on SiC/SiGe heterostructures for lasers with target frequencies of 3.22 and 4.11 THz, we observed a blue shift of the emission frequency from the center to the edge of the wafer."
